,address1,address2,city,zip,country,phone,fax,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,forwardPE,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,129 Samsung-Ro,Maetan-3dong Yeongtong-gu,Suwon,443-742,South Korea,82 2 2255 0114,82 3 1200 7538,https://www.samsung.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Samsung Electronics Co., Ltd. engages in the consumer electronics, information technology and mobile communications, and device solutions businesses worldwide. The company offers smartphones, tablets, watches, and accessories; TVs, projectors, and sound devices; home appliances, including refrigerators, washing machines and dryers, vacuum cleaners, cooking appliances, dishwashers, air conditioners, and air purifiers; monitors and memory storage products; displays, and smart and LED signages; and other accessories. It also engages in venture capital investments, cloud services, network devices installation, semiconductor equipment maintenance services, digital advertising platforms, marketing, consulting, connected services, logistics, financing, and software design activities; toll processing of display panels and semiconductors; development and sale of network solutions; manufactures semiconductors and food; provision of repair services for electronic devices; and development and supply of semiconductor process defect and quality control software, as well as digital televisions, foundry, system large scale integration, connected car systems, audio and visual products, enterprise automation solutions, and connected services. Samsung Electronics Co., Ltd. was incorporated in 1969 and is based in Suwon, South Korea.",127172,"{'maxAge': 1, 'name': 'Mr. Jong-Hee  Han', 'age': 61, 'title': 'Vice Chairman, CEO, President & Head of Visual Display Business', 'yearBorn': 1962, 'fiscalYear': 2023, 'totalPay': 6903000000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,1,1,1727740800,1703980800,86400,2,61300.0,61000.0,60500.0,61700.0,61300.0,61000.0,60500.0,61700.0,1444.0,0.0238,1719446400,0.353,2.6,0.824,24247578,24247578,22401561,31771540,31771540,60700.0,60800.0,403653575835648,59900.0,88800.0,1.4356288,73154.0,76439.0,KRW,337178722828288,7.3712406,0.09883001,5599468970,5969780224,0.09983,0.50571996,6876559872,1703980800,1735603200,1719705600,5.233,25818577240064,0.23,50:1,1526428800,1.199,5.555,-0.08181816,0.32645774,361.0,1719446400,KSC,EQUITY,005930.KS,005930.KS,SamsungElec,"Samsung Electronics Co., Ltd.",946944000,Asia/Seoul,KST,ebb4c8f8-ba22-3579-8836-6335b9a20546,finmb_91868,32400000,60600.0,125000.0,80000.0,109355.0,110000.0,1.7,buy,31,100795508850688,14838.867,60702307909632,16481384398848,1.804,2.583,281168490528768,4.297,41392.926,0.029860001,0.07754,-7782830440448,58437455052800,4.478,0.234,0.34938,0.21589,0.141,KRW,0.2837
1,129 Samsung-Ro,Maetan-3dong Yeongtong-gu,Suwon,443-742,South Korea,82 2 2255 0114,82 3 1200 7538,https://www.samsung.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Samsung Electronics Co., Ltd. engages in the consumer electronics, information technology and mobile communications, and device solutions businesses worldwide. The company offers smartphones, tablets, watches, and accessories; TVs, projectors, and sound devices; home appliances, including refrigerators, washing machines and dryers, vacuum cleaners, cooking appliances, dishwashers, air conditioners, and air purifiers; monitors and memory storage products; displays, and smart and LED signages; and other accessories. It also engages in venture capital investments, cloud services, network devices installation, semiconductor equipment maintenance services, digital advertising platforms, marketing, consulting, connected services, logistics, financing, and software design activities; toll processing of display panels and semiconductors; development and sale of network solutions; manufactures semiconductors and food; provision of repair services for electronic devices; and development and supply of semiconductor process defect and quality control software, as well as digital televisions, foundry, system large scale integration, connected car systems, audio and visual products, enterprise automation solutions, and connected services. Samsung Electronics Co., Ltd. was incorporated in 1969 and is based in Suwon, South Korea.",127172,"{'maxAge': 1, 'name': 'Mr. Tae-Moon  Roh', 'age': 55, 'title': 'President, Head of Mobile eXperience, CEO of Smart Phone Division & Executive Director', 'yearBorn': 1968, 'fiscalYear': 2023, 'totalPay': 6194000000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,1,1,1727740800,1703980800,86400,2,61300.0,61000.0,60500.0,61700.0,61300.0,61000.0,60500.0,61700.0,1444.0,0.0238,1719446400,0.353,2.6,0.824,24247578,24247578,22401561,31771540,31771540,60700.0,60800.0,403653575835648,59900.0,88800.0,1.4356288,73154.0,76439.0,KRW,337178722828288,7.3712406,0.09883001,5599468970,5969780224,0.09983,0.50571996,6876559872,1703980800,1735603200,1719705600,5.233,25818577240064,0.23,50:1,1526428800,1.199,5.555,-0.08181816,0.32645774,361.0,1719446400,KSC,EQUITY,005930.KS,005930.KS,SamsungElec,"Samsung Electronics Co., Ltd.",946944000,Asia/Seoul,KST,ebb4c8f8-ba22-3579-8836-6335b9a20546,finmb_91868,32400000,60600.0,125000.0,80000.0,109355.0,110000.0,1.7,buy,31,100795508850688,14838.867,60702307909632,16481384398848,1.804,2.583,281168490528768,4.297,41392.926,0.029860001,0.07754,-7782830440448,58437455052800,4.478,0.234,0.34938,0.21589,0.141,KRW,0.2837
2,129 Samsung-Ro,Maetan-3dong Yeongtong-gu,Suwon,443-742,South Korea,82 2 2255 0114,82 3 1200 7538,https://www.samsung.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Samsung Electronics Co., Ltd. engages in the consumer electronics, information technology and mobile communications, and device solutions businesses worldwide. The company offers smartphones, tablets, watches, and accessories; TVs, projectors, and sound devices; home appliances, including refrigerators, washing machines and dryers, vacuum cleaners, cooking appliances, dishwashers, air conditioners, and air purifiers; monitors and memory storage products; displays, and smart and LED signages; and other accessories. It also engages in venture capital investments, cloud services, network devices installation, semiconductor equipment maintenance services, digital advertising platforms, marketing, consulting, connected services, logistics, financing, and software design activities; toll processing of display panels and semiconductors; development and sale of network solutions; manufactures semiconductors and food; provision of repair services for electronic devices; and development and supply of semiconductor process defect and quality control software, as well as digital televisions, foundry, system large scale integration, connected car systems, audio and visual products, enterprise automation solutions, and connected services. Samsung Electronics Co., Ltd. was incorporated in 1969 and is based in Suwon, South Korea.",127172,"{'maxAge': 1, 'name': 'Mr. Hark-Kyu  Park', 'age': 59, 'title': 'President, CFO, Head of Corporate Management Office at DX Division & Executive Director', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 3791000000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,1,1,1727740800,1703980800,86400,2,61300.0,61000.0,60500.0,61700.0,61300.0,61000.0,60500.0,61700.0,1444.0,0.0238,1719446400,0.353,2.6,0.824,24247578,24247578,22401561,31771540,31771540,60700.0,60800.0,403653575835648,59900.0,88800.0,1.4356288,73154.0,76439.0,KRW,337178722828288,7.3712406,0.09883001,5599468970,5969780224,0.09983,0.50571996,6876559872,1703980800,1735603200,1719705600,5.233,25818577240064,0.23,50:1,1526428800,1.199,5.555,-0.08181816,0.32645774,361.0,1719446400,KSC,EQUITY,005930.KS,005930.KS,SamsungElec,"Samsung Electronics Co., Ltd.",946944000,Asia/Seoul,KST,ebb4c8f8-ba22-3579-8836-6335b9a20546,finmb_91868,32400000,60600.0,125000.0,80000.0,109355.0,110000.0,1.7,buy,31,100795508850688,14838.867,60702307909632,16481384398848,1.804,2.583,281168490528768,4.297,41392.926,0.029860001,0.07754,-7782830440448,58437455052800,4.478,0.234,0.34938,0.21589,0.141,KRW,0.2837
3,129 Samsung-Ro,Maetan-3dong Yeongtong-gu,Suwon,443-742,South Korea,82 2 2255 0114,82 3 1200 7538,https://www.samsung.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Samsung Electronics Co., Ltd. engages in the consumer electronics, information technology and mobile communications, and device solutions businesses worldwide. The company offers smartphones, tablets, watches, and accessories; TVs, projectors, and sound devices; home appliances, including refrigerators, washing machines and dryers, vacuum cleaners, cooking appliances, dishwashers, air conditioners, and air purifiers; monitors and memory storage products; displays, and smart and LED signages; and other accessories. It also engages in venture capital investments, cloud services, network devices installation, semiconductor equipment maintenance services, digital advertising platforms, marketing, consulting, connected services, logistics, financing, and software design activities; toll processing of display panels and semiconductors; development and sale of network solutions; manufactures semiconductors and food; provision of repair services for electronic devices; and development and supply of semiconductor process defect and quality control software, as well as digital televisions, foundry, system large scale integration, connected car systems, audio and visual products, enterprise automation solutions, and connected services. Samsung Electronics Co., Ltd. was incorporated in 1969 and is based in Suwon, South Korea.",127172,"{'maxAge': 1, 'name': 'Mr. Jung-Bae  Lee', 'age': 56, 'title': 'President, Head of Memory & Executive Director', 'yearBorn': 1967, 'fiscalYear': 2023, 'totalPay': 2718000000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,1,1,1727740800,1703980800,86400,2,61300.0,61000.0,60500.0,61700.0,61300.0,61000.0,60500.0,61700.0,1444.0,0.0238,1719446400,0.353,2.6,0.824,24247578,24247578,22401561,31771540,31771540,60700.0,60800.0,403653575835648,59900.0,88800.0,1.4356288,73154.0,76439.0,KRW,337178722828288,7.3712406,0.09883001,5599468970,5969780224,0.09983,0.50571996,6876559872,1703980800,1735603200,1719705600,5.233,25818577240064,0.23,50:1,1526428800,1.199,5.555,-0.08181816,0.32645774,361.0,1719446400,KSC,EQUITY,005930.KS,005930.KS,SamsungElec,"Samsung Electronics Co., Ltd.",946944000,Asia/Seoul,KST,ebb4c8f8-ba22-3579-8836-6335b9a20546,finmb_91868,32400000,60600.0,125000.0,80000.0,109355.0,110000.0,1.7,buy,31,100795508850688,14838.867,60702307909632,16481384398848,1.804,2.583,281168490528768,4.297,41392.926,0.029860001,0.07754,-7782830440448,58437455052800,4.478,0.234,0.34938,0.21589,0.141,KRW,0.2837
4,129 Samsung-Ro,Maetan-3dong Yeongtong-gu,Suwon,443-742,South Korea,82 2 2255 0114,82 3 1200 7538,https://www.samsung.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Samsung Electronics Co., Ltd. engages in the consumer electronics, information technology and mobile communications, and device solutions businesses worldwide. The company offers smartphones, tablets, watches, and accessories; TVs, projectors, and sound devices; home appliances, including refrigerators, washing machines and dryers, vacuum cleaners, cooking appliances, dishwashers, air conditioners, and air purifiers; monitors and memory storage products; displays, and smart and LED signages; and other accessories. It also engages in venture capital investments, cloud services, network devices installation, semiconductor equipment maintenance services, digital advertising platforms, marketing, consulting, connected services, logistics, financing, and software design activities; toll processing of display panels and semiconductors; development and sale of network solutions; manufactures semiconductors and food; provision of repair services for electronic devices; and development and supply of semiconductor process defect and quality control software, as well as digital televisions, foundry, system large scale integration, connected car systems, audio and visual products, enterprise automation solutions, and connected services. Samsung Electronics Co., Ltd. was incorporated in 1969 and is based in Suwon, South Korea.",127172,"{'maxAge': 1, 'name': 'Mr. Hyun-Chong  Kim', 'title': 'President and Chief Legal Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,1,1,1727740800,1703980800,86400,2,61300.0,61000.0,60500.0,61700.0,61300.0,61000.0,60500.0,61700.0,1444.0,0.0238,1719446400,0.353,2.6,0.824,24247578,24247578,22401561,31771540,31771540,60700.0,60800.0,403653575835648,59900.0,88800.0,1.4356288,73154.0,76439.0,KRW,337178722828288,7.3712406,0.09883001,5599468970,5969780224,0.09983,0.50571996,6876559872,1703980800,1735603200,1719705600,5.233,25818577240064,0.23,50:1,1526428800,1.199,5.555,-0.08181816,0.32645774,361.0,1719446400,KSC,EQUITY,005930.KS,005930.KS,SamsungElec,"Samsung Electronics Co., Ltd.",946944000,Asia/Seoul,KST,ebb4c8f8-ba22-3579-8836-6335b9a20546,finmb_91868,32400000,60600.0,125000.0,80000.0,109355.0,110000.0,1.7,buy,31,100795508850688,14838.867,60702307909632,16481384398848,1.804,2.583,281168490528768,4.297,41392.926,0.029860001,0.07754,-7782830440448,58437455052800,4.478,0.234,0.34938,0.21589,0.141,KRW,0.2837
5,129 Samsung-Ro,Maetan-3dong Yeongtong-gu,Suwon,443-742,South Korea,82 2 2255 0114,82 3 1200 7538,https://www.samsung.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Samsung Electronics Co., Ltd. engages in the consumer electronics, information technology and mobile communications, and device solutions businesses worldwide. The company offers smartphones, tablets, watches, and accessories; TVs, projectors, and sound devices; home appliances, including refrigerators, washing machines and dryers, vacuum cleaners, cooking appliances, dishwashers, air conditioners, and air purifiers; monitors and memory storage products; displays, and smart and LED signages; and other accessories. It also engages in venture capital investments, cloud services, network devices installation, semiconductor equipment maintenance services, digital advertising platforms, marketing, consulting, connected services, logistics, financing, and software design activities; toll processing of display panels and semiconductors; development and sale of network solutions; manufactures semiconductors and food; provision of repair services for electronic devices; and development and supply of semiconductor process defect and quality control software, as well as digital televisions, foundry, system large scale integration, connected car systems, audio and visual products, enterprise automation solutions, and connected services. Samsung Electronics Co., Ltd. was incorporated in 1969 and is based in Suwon, South Korea.",127172,"{'maxAge': 1, 'name': 'Kyungwhoon  Cheun', 'title': 'President', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,1,1,1727740800,1703980800,86400,2,61300.0,61000.0,60500.0,61700.0,61300.0,61000.0,60500.0,61700.0,1444.0,0.0238,1719446400,0.353,2.6,0.824,24247578,24247578,22401561,31771540,31771540,60700.0,60800.0,403653575835648,59900.0,88800.0,1.4356288,73154.0,76439.0,KRW,337178722828288,7.3712406,0.09883001,5599468970,5969780224,0.09983,0.50571996,6876559872,1703980800,1735603200,1719705600,5.233,25818577240064,0.23,50:1,1526428800,1.199,5.555,-0.08181816,0.32645774,361.0,1719446400,KSC,EQUITY,005930.KS,005930.KS,SamsungElec,"Samsung Electronics Co., Ltd.",946944000,Asia/Seoul,KST,ebb4c8f8-ba22-3579-8836-6335b9a20546,finmb_91868,32400000,60600.0,125000.0,80000.0,109355.0,110000.0,1.7,buy,31,100795508850688,14838.867,60702307909632,16481384398848,1.804,2.583,281168490528768,4.297,41392.926,0.029860001,0.07754,-7782830440448,58437455052800,4.478,0.234,0.34938,0.21589,0.141,KRW,0.2837
6,129 Samsung-Ro,Maetan-3dong Yeongtong-gu,Suwon,443-742,South Korea,82 2 2255 0114,82 3 1200 7538,https://www.samsung.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Samsung Electronics Co., Ltd. engages in the consumer electronics, information technology and mobile communications, and device solutions businesses worldwide. The company offers smartphones, tablets, watches, and accessories; TVs, projectors, and sound devices; home appliances, including refrigerators, washing machines and dryers, vacuum cleaners, cooking appliances, dishwashers, air conditioners, and air purifiers; monitors and memory storage products; displays, and smart and LED signages; and other accessories. It also engages in venture capital investments, cloud services, network devices installation, semiconductor equipment maintenance services, digital advertising platforms, marketing, consulting, connected services, logistics, financing, and software design activities; toll processing of display panels and semiconductors; development and sale of network solutions; manufactures semiconductors and food; provision of repair services for electronic devices; and development and supply of semiconductor process defect and quality control software, as well as digital televisions, foundry, system large scale integration, connected car systems, audio and visual products, enterprise automation solutions, and connected services. Samsung Electronics Co., Ltd. was incorporated in 1969 and is based in Suwon, South Korea.",127172,"{'maxAge': 1, 'name': 'Mr. Robert M. Yi', 'title': 'Head of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,1,1,1727740800,1703980800,86400,2,61300.0,61000.0,60500.0,61700.0,61300.0,61000.0,60500.0,61700.0,1444.0,0.0238,1719446400,0.353,2.6,0.824,24247578,24247578,22401561,31771540,31771540,60700.0,60800.0,403653575835648,59900.0,88800.0,1.4356288,73154.0,76439.0,KRW,337178722828288,7.3712406,0.09883001,5599468970,5969780224,0.09983,0.50571996,6876559872,1703980800,1735603200,1719705600,5.233,25818577240064,0.23,50:1,1526428800,1.199,5.555,-0.08181816,0.32645774,361.0,1719446400,KSC,EQUITY,005930.KS,005930.KS,SamsungElec,"Samsung Electronics Co., Ltd.",946944000,Asia/Seoul,KST,ebb4c8f8-ba22-3579-8836-6335b9a20546,finmb_91868,32400000,60600.0,125000.0,80000.0,109355.0,110000.0,1.7,buy,31,100795508850688,14838.867,60702307909632,16481384398848,1.804,2.583,281168490528768,4.297,41392.926,0.029860001,0.07754,-7782830440448,58437455052800,4.478,0.234,0.34938,0.21589,0.141,KRW,0.2837
7,129 Samsung-Ro,Maetan-3dong Yeongtong-gu,Suwon,443-742,South Korea,82 2 2255 0114,82 3 1200 7538,https://www.samsung.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Samsung Electronics Co., Ltd. engages in the consumer electronics, information technology and mobile communications, and device solutions businesses worldwide. The company offers smartphones, tablets, watches, and accessories; TVs, projectors, and sound devices; home appliances, including refrigerators, washing machines and dryers, vacuum cleaners, cooking appliances, dishwashers, air conditioners, and air purifiers; monitors and memory storage products; displays, and smart and LED signages; and other accessories. It also engages in venture capital investments, cloud services, network devices installation, semiconductor equipment maintenance services, digital advertising platforms, marketing, consulting, connected services, logistics, financing, and software design activities; toll processing of display panels and semiconductors; development and sale of network solutions; manufactures semiconductors and food; provision of repair services for electronic devices; and development and supply of semiconductor process defect and quality control software, as well as digital televisions, foundry, system large scale integration, connected car systems, audio and visual products, enterprise automation solutions, and connected services. Samsung Electronics Co., Ltd. was incorporated in 1969 and is based in Suwon, South Korea.",127172,"{'maxAge': 1, 'name': 'Mr. Jung-ho  Park', 'age': 52, 'title': 'Head of Compliance Team & Executive VP', 'yearBorn': 1971, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,1,1,1727740800,1703980800,86400,2,61300.0,61000.0,60500.0,61700.0,61300.0,61000.0,60500.0,61700.0,1444.0,0.0238,1719446400,0.353,2.6,0.824,24247578,24247578,22401561,31771540,31771540,60700.0,60800.0,403653575835648,59900.0,88800.0,1.4356288,73154.0,76439.0,KRW,337178722828288,7.3712406,0.09883001,5599468970,5969780224,0.09983,0.50571996,6876559872,1703980800,1735603200,1719705600,5.233,25818577240064,0.23,50:1,1526428800,1.199,5.555,-0.08181816,0.32645774,361.0,1719446400,KSC,EQUITY,005930.KS,005930.KS,SamsungElec,"Samsung Electronics Co., Ltd.",946944000,Asia/Seoul,KST,ebb4c8f8-ba22-3579-8836-6335b9a20546,finmb_91868,32400000,60600.0,125000.0,80000.0,109355.0,110000.0,1.7,buy,31,100795508850688,14838.867,60702307909632,16481384398848,1.804,2.583,281168490528768,4.297,41392.926,0.029860001,0.07754,-7782830440448,58437455052800,4.478,0.234,0.34938,0.21589,0.141,KRW,0.2837
8,129 Samsung-Ro,Maetan-3dong Yeongtong-gu,Suwon,443-742,South Korea,82 2 2255 0114,82 3 1200 7538,https://www.samsung.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Samsung Electronics Co., Ltd. engages in the consumer electronics, information technology and mobile communications, and device solutions businesses worldwide. The company offers smartphones, tablets, watches, and accessories; TVs, projectors, and sound devices; home appliances, including refrigerators, washing machines and dryers, vacuum cleaners, cooking appliances, dishwashers, air conditioners, and air purifiers; monitors and memory storage products; displays, and smart and LED signages; and other accessories. It also engages in venture capital investments, cloud services, network devices installation, semiconductor equipment maintenance services, digital advertising platforms, marketing, consulting, connected services, logistics, financing, and software design activities; toll processing of display panels and semiconductors; development and sale of network solutions; manufactures semiconductors and food; provision of repair services for electronic devices; and development and supply of semiconductor process defect and quality control software, as well as digital televisions, foundry, system large scale integration, connected car systems, audio and visual products, enterprise automation solutions, and connected services. Samsung Electronics Co., Ltd. was incorporated in 1969 and is based in Suwon, South Korea.",127172,"{'maxAge': 1, 'name': 'Jung-Suk  Kim', 'title': 'Managing Director and Director of Corporate Communications', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,1,1,1727740800,1703980800,86400,2,61300.0,61000.0,60500.0,61700.0,61300.0,61000.0,60500.0,61700.0,1444.0,0.0238,1719446400,0.353,2.6,0.824,24247578,24247578,22401561,31771540,31771540,60700.0,60800.0,403653575835648,59900.0,88800.0,1.4356288,73154.0,76439.0,KRW,337178722828288,7.3712406,0.09883001,5599468970,5969780224,0.09983,0.50571996,6876559872,1703980800,1735603200,1719705600,5.233,25818577240064,0.23,50:1,1526428800,1.199,5.555,-0.08181816,0.32645774,361.0,1719446400,KSC,EQUITY,005930.KS,005930.KS,SamsungElec,"Samsung Electronics Co., Ltd.",946944000,Asia/Seoul,KST,ebb4c8f8-ba22-3579-8836-6335b9a20546,finmb_91868,32400000,60600.0,125000.0,80000.0,109355.0,110000.0,1.7,buy,31,100795508850688,14838.867,60702307909632,16481384398848,1.804,2.583,281168490528768,4.297,41392.926,0.029860001,0.07754,-7782830440448,58437455052800,4.478,0.234,0.34938,0.21589,0.141,KRW,0.2837
9,129 Samsung-Ro,Maetan-3dong Yeongtong-gu,Suwon,443-742,South Korea,82 2 2255 0114,82 3 1200 7538,https://www.samsung.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Samsung Electronics Co., Ltd. engages in the consumer electronics, information technology and mobile communications, and device solutions businesses worldwide. The company offers smartphones, tablets, watches, and accessories; TVs, projectors, and sound devices; home appliances, including refrigerators, washing machines and dryers, vacuum cleaners, cooking appliances, dishwashers, air conditioners, and air purifiers; monitors and memory storage products; displays, and smart and LED signages; and other accessories. It also engages in venture capital investments, cloud services, network devices installation, semiconductor equipment maintenance services, digital advertising platforms, marketing, consulting, connected services, logistics, financing, and software design activities; toll processing of display panels and semiconductors; development and sale of network solutions; manufactures semiconductors and food; provision of repair services for electronic devices; and development and supply of semiconductor process defect and quality control software, as well as digital televisions, foundry, system large scale integration, connected car systems, audio and visual products, enterprise automation solutions, and connected services. Samsung Electronics Co., Ltd. was incorporated in 1969 and is based in Suwon, South Korea.",127172,"{'maxAge': 1, 'name': 'S. P. Kim', 'title': 'Chief Marketing Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",1,2,1,1,1,1727740800,1703980800,86400,2,61300.0,61000.0,60500.0,61700.0,61300.0,61000.0,60500.0,61700.0,1444.0,0.0238,1719446400,0.353,2.6,0.824,24247578,24247578,22401561,31771540,31771540,60700.0,60800.0,403653575835648,59900.0,88800.0,1.4356288,73154.0,76439.0,KRW,337178722828288,7.3712406,0.09883001,5599468970,5969780224,0.09983,0.50571996,6876559872,1703980800,1735603200,1719705600,5.233,25818577240064,0.23,50:1,1526428800,1.199,5.555,-0.08181816,0.32645774,361.0,1719446400,KSC,EQUITY,005930.KS,005930.KS,SamsungElec,"Samsung Electronics Co., Ltd.",946944000,Asia/Seoul,KST,ebb4c8f8-ba22-3579-8836-6335b9a20546,finmb_91868,32400000,60600.0,125000.0,80000.0,109355.0,110000.0,1.7,buy,31,100795508850688,14838.867,60702307909632,16481384398848,1.804,2.583,281168490528768,4.297,41392.926,0.029860001,0.07754,-7782830440448,58437455052800,4.478,0.234,0.34938,0.21589,0.141,KRW,0.2837
