Ticker,Name,Start Price,Current Price,Total Return (%),Month 1 Return (%),Month 2 Return (%),Month 3 Return (%),Month 4 Return (%),Month 5 Return (%),Month 6 Return (%),Month 7 Return (%),Month 8 Return (%),Month 9 Return (%),Month 10 Return (%),Month 11 Return (%),Month 12 Return (%),Month 1 Volatility (%),Month 2 Volatility (%),Month 3 Volatility (%),Month 4 Volatility (%),Month 5 Volatility (%),Month 6 Volatility (%),Month 7 Volatility (%),Month 8 Volatility (%),Month 9 Volatility (%),Month 10 Volatility (%),Month 11 Volatility (%),Month 12 Volatility (%),Month 1 Sharpe Ratio,Month 2 Sharpe Ratio,Month 3 Sharpe Ratio,Month 4 Sharpe Ratio,Month 5 Sharpe Ratio,Month 6 Sharpe Ratio,Month 7 Sharpe Ratio,Month 8 Sharpe Ratio,Month 9 Sharpe Ratio,Month 10 Sharpe Ratio,Month 11 Sharpe Ratio,Month 12 Sharpe Ratio,,abs,abssr1,abssr2,abssr3,abssr4,abssr5,abssr6,abssr7,abssr8,abssr9,abssr10,abssr11,abssr12,abssrsum
161390,한국타이어앤테크놀로지,37600,38550,2.53,-0.26,-2.01,-0.69,-0.56,2.49,-19.84,8.84,1.5,4.23,13.12,1.11,16.58,4.59,1.85,3.62,1.75,1.32,4.3,3.04,2.24,2.55,2.34,1.91,2.73,-0.06,-1.09,-0.19,-0.32,1.89,-4.61,2.91,0.67,1.66,5.61,0.58,6.07,1.093333333,1.093333333,0.06,1.09,0.19,0.32,1.89,4.61,2.91,0.67,1.66,5.61,0.58,6.07,2.138333333
3550,LG,81000,79200,-2.22,0.64,0,-8.01,7.7,-1.35,4.5,-8.31,-7.89,6.36,-3.3,4.76,8.52,0.81,2.88,2.14,1.45,1.94,1.37,1.75,2.67,3.58,2.13,2.23,2.14,0.79,0,-3.74,5.31,-0.7,3.28,-4.75,-2.96,1.78,-1.55,2.13,3.98,0.2975,0.2975,0.79,0,3.74,5.31,0.7,3.28,4.75,2.96,1.78,1.55,2.13,3.98,2.580833333
12750,에스원,57400,56000,-2.44,-1.06,2.78,5.14,-4.09,-7.64,5.65,-0.83,3.8,2.11,-5.17,2.74,6.55,2.24,1.55,1.16,1.34,1.72,1.21,1.33,1.7,1.56,1.56,1.95,1.92,-0.47,1.79,4.43,-3.05,-4.44,4.67,-0.62,2.24,1.35,-3.31,1.41,3.41,0.6175,0.6175,0.47,1.79,4.43,3.05,4.44,4.67,0.62,2.24,1.35,3.31,1.41,3.41,2.599166667
10060,OCI홀딩스,91500,68800,-24.81,-0.58,0.57,-5.94,-16.29,-7.43,2.22,0.64,-2.42,-14.16,3.16,10.51,-2.95,1.29,1.92,2.69,1.8,1.38,1.69,1.58,1.55,2.85,3.57,3.26,1.97,-0.45,0.3,-2.21,-9.05,-5.38,1.31,0.41,-1.56,-4.97,0.89,3.22,-1.5,-1.5825,1.5825,0.45,0.3,2.21,9.05,5.38,1.31,0.41,1.56,4.97,0.89,3.22,1.5,2.604166667
35420,NAVER,189400,170700,-9.87,1.49,1.68,-3.37,6.81,-3.36,-9.85,-5.1,-2.4,-3.7,-11.87,8.74,10.82,1.55,2.1,2.84,1.98,1.33,1.54,1.5,0.99,2.94,1.83,1.72,1.83,0.96,0.8,-1.19,3.44,-2.53,-6.4,-3.4,-2.42,-1.26,-6.49,5.08,5.91,-0.625,0.625,0.96,0.8,1.19,3.44,2.53,6.4,3.4,2.42,1.26,6.49,5.08,5.91,3.323333333
5380,현대차,190500,239500,25.72,1.05,-0.81,0.79,-12.94,11.32,1.61,10.33,-8.81,20.43,-2.94,11.32,8.22,2.77,2.58,3.03,2.38,1.85,2.66,2.54,2.29,3.46,1.88,1.43,1.2,0.38,-0.31,0.26,-5.44,6.12,0.61,4.07,-3.85,5.9,-1.56,7.92,6.85,1.745833333,1.745833333,0.38,0.31,0.26,5.44,6.12,0.61,4.07,3.85,5.9,1.56,7.92,6.85,3.605833333
6400,삼성SDI,489000,361500,-26.07,-2.69,2.57,5.99,-12.94,-6.1,-15.56,-4.41,25.77,-0.13,-20.24,5.59,10.93,0.6,3.4,3.61,2.67,1.98,1.88,3.1,4.46,2.17,2.25,2.46,4.01,-4.48,0.76,1.66,-4.85,-3.08,-8.28,-1.42,5.78,-0.06,-9,2.27,2.73,-1.4975,1.4975,4.48,0.76,1.66,4.85,3.08,8.28,1.42,5.78,0.06,9,2.27,2.73,3.6975
660,SK하이닉스,120200,174100,44.84,2.96,0.34,-10.14,-17.37,21.78,8.99,-6.09,9.91,17.71,-5.41,6.71,11.31,4.32,4.41,4.71,2.86,2.7,2.07,3.04,3.16,2.73,1.97,1.68,2.19,0.69,0.08,-2.15,-6.07,8.07,4.34,-2,3.14,6.49,-2.75,3.99,5.16,1.5825,1.5825,0.69,0.08,2.15,6.07,8.07,4.34,2,3.14,6.49,2.75,3.99,5.16,3.744166667
270,기아,83500,98000,17.37,-0.71,-5.84,-5.35,-12.83,7.13,-1.59,8.56,-12.26,17.12,5.43,16.55,10.98,0.35,2.3,3.18,1.83,1.65,2.15,2.42,2.41,4.02,2.69,1.71,1.52,-2.03,-2.54,-1.68,-7.01,4.32,-0.74,3.54,-5.09,4.26,2.02,9.68,7.22,0.995833333,0.995833333,2.03,2.54,1.68,7.01,4.32,0.74,3.54,5.09,4.26,2.02,9.68,7.22,4.1775
16380,KG스틸,7320,6500,-11.2,-1.66,16.75,-10.02,-2.48,-9.82,-0.72,-0.42,-5.41,-4.1,-15.23,3.49,20.86,0.33,2.36,2.79,1.54,1.25,1.16,1.63,1.2,1.39,1.39,1.89,2.01,-5.03,7.1,-3.59,-1.61,-7.86,-0.62,-0.26,-4.51,-2.95,-10.96,1.85,10.38,-1.505,1.505,5.03,7.1,3.59,1.61,7.86,0.62,0.26,4.51,2.95,10.96,1.85,10.38,4.726666667
3560,IHQ,10760,10760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0
33180,KH 필룩스,6630,6630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0
5030,부산주공,486,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0
7610,선도전기,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0
91090,세원이앤씨,1270,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0
102280,쌍방울,269,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0
93230,이아이디,1392,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0
101140,인바이오젠,9340,9340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0
109070,주성코퍼레이션,4100,4100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0
12600,청호ICT,2490,2490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0
489790,한화인더스트리얼솔루션즈,35400,34500,-2.54,1.17,-5.93,0,0,0,0,0,0,0,0,0,0,0.87,,0,0,0,0,0,0,0,0,0,0,1.34,,,,,,,,,,,,1.34,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0.111666667
481850,신한글로벌액티브리츠,2760,2555,-7.43,0.2,0,-5.52,1.99,0,0,0,0,0,0,0,0,0.83,1.77,1.47,1.12,0,0,0,0,0,0,0,0,0.24,0,-3.76,1.78,,,,,,,,,-0.435,0.435,0.24,0,3.76,1.78,0,0,0,0,0,0,0,0,0.481666667
462870,시프트업,71000,56200,-20.85,0.54,-9.74,-8.73,-5.63,0,0,0,0,0,0,0,0,1.13,3.13,6.36,4.65,0,0,0,0,0,0,0,0,0.48,-3.11,-1.37,-1.21,,,,,,,,,-1.3025,1.3025,0.48,3.11,1.37,1.21,0,0,0,0,0,0,0,0,0.514166667
1080,만호제강,45000,31000,-31.11,13.55,-34.56,0,0,0,0,0,0,0,0,0,0,14.75,5.48,0,0,0,0,0,0,0,0,0,0,0.92,-6.31,,,,,,,,,,,-2.695,2.695,0.92,6.31,0,0,0,0,0,0,0,0,0,0,0.6025
79900,전진건설로봇,20550,15170,-26.18,3.9,-18.69,-11.44,0,0,0,0,0,0,0,0,0,6.04,4.59,3.5,0,0,0,0,0,0,0,0,0,0.65,-4.07,-3.27,,,,,,,,,,-2.23,2.23,0.65,4.07,3.27,0,0,0,0,0,0,0,0,0,0.665833333
62040,산일전기,50200,45950,-8.47,4.43,25.92,-25.14,0.2,0,0,0,0,0,0,0,0,8.82,6.35,5.69,14.09,0,0,0,0,0,0,0,0,0.5,4.08,-4.42,0.01,,,,,,,,,0.0425,0.0425,0.5,4.08,4.42,0.01,0,0,0,0,0,0,0,0,0.750833333
6380,카프로,3640,3660,0.55,0,0,0,0,0,0,0,0,0,-14.39,-6.14,20.08,0,0,0,0,0,0,0,0,0,2.36,3.26,7.52,,,,,,,,,,-6.1,-1.88,2.67,-1.77,1.77,0,0,0,0,0,0,0,0,0,6.1,1.88,2.67,0.8875
487570,HS효성,82600,42250,-48.85,-0.94,-4.71,-24.63,-22.76,0,0,0,0,0,0,0,0,0.91,1.84,4.27,12.42,0,0,0,0,0,0,0,0,-1.03,-2.56,-5.77,-1.83,,,,,,,,,-2.7975,2.7975,1.03,2.56,5.77,1.83,0,0,0,0,0,0,0,0,0.9325
140910,에이리츠,3330,3130,-6.01,0,0,0,0,0,0,0,0,-4.43,-6.8,-1.28,2.71,0,0,0,0,0,0,0,0,1.11,1.35,1.95,1.77,,,,,,,,,-3.99,-5.04,-0.66,1.53,-2.04,2.04,0,0,0,0,0,0,0,0,3.99,5.04,0.66,1.53,0.935
